klasse;busch;hutFormAlt;hutFormJung;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichtensteinpilz;nein;gewölbt;halbkugelig;schmierig;Poren;olivgrün;nein;nein;braun;keulig;verdickt;hellbraun;netz;weiss;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gallenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;weiss;nein;nein;hellbraun;zylindrisch;verdickt;braun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gallenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;rosa;nein;nein;rotbraun;keulig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satanspilz;nein;gewölbt;halbkugelig;matt;Poren;rot;ja;blau;hellgrau;bauchig;verdickt;gelb-rot;netz;gelb;nein;nein;nein;gelblich;ja;blau;unangenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satanspilz;nein;gewölbt;halbkugelig;matt;Poren;gelb-rot;ja;blau;graugelb;bauchig;verdickt;gelb-rot;netz;gelb;nein;nein;nein;weiss;ja;blau;unangenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flockenstieliger Hexenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;rot;ja;blau;graubraun;keulig;verdickt;gelb;flockig;rot;nein;nein;nein;gelb;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sommersteinpilz;nein;gewölbt;halbkugelig;rissig;Poren;weiss;nein;nein;hellbraun;bauchig;verdickt;hellbraun;netz;bräunlich;nein;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maronenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;gelblich;ja;blau;dunkelbraun;zylindrisch;verdickt;braun;längsfaserig;nein;nein;nein;nein;weiss;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maronenröhrling;nein;gewölbt;halbkugelig;samtig;Poren;gelblich;ja;blaugrün;dunkelbraun;bauchig;verdickt;braun;längsfaserig;nein;nein;nein;nein;weiss;ja;blau;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birkenpilz;nein;gewölbt;halbkugelig;samtig;Poren;graubraun;nein;nein;graubraun;zylindrisch;verdickt;gräulich;schuppig;grau;nein;nein;nein;weiss;ja;blaugrün;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
